status,phase,nucleation_mode,contact_angle_deg,T_ambient_K,T_local_K,P_total_Pa,p_v_Pa,RH_water_percent,RH_ice_percent,S_water,S_ice,gradT_K_m,DeltaT_K,P_eq_classical_Pa,P_eq_shift_Pa,DeltaP_eq_Pa,gamma_J_m2,dgamma_dr_J_m3,surface_stress_N_m,DeltaS_bulk,DeltaG_V_J_m3,DeltaG_bulk_J,DeltaG_surface_J,DeltaG_config_J,DeltaG_total_J,Gamma_1st,Gamma_2nd,r_critical_1st_m,r_critical_2nd_m,DeltaG_critical_1st_J,DeltaG_critical_2nd_J,nucleation_rate_m3_s,log10_nucleation_rate,expected_events,dominant_phase,rain_favorability,snow_favorability,graupel_favorability,hail_favorability,diagnostic_class,confidence,assumptions,warnings,validity_flags,solver_iterations,closure_residual,critical_radius_residual,theta_model
ok,liquid,homogeneous,90.03961474008672,280.75,280.7498021779002,90000.0,1203.693294275581,115.29059249653214,107.14681800624554,1.1529059249653215,1.0714681800624555,78.71091257135653,0.00019782209975321773,1044.0516161904425,1044.037508592063,0.014107598379496267,0.07427173469753368,2959.03325488182,0.07427173469753368,-8974827.895047415,-1775.419299122031,-7.43685896955108e-18,9.333261443805676e-15,-4.6580763337507165e-15,4.6677482510854084e-15,-1.2413329902610447e-08,9.891104987660886e-12,-0.0001254999306760572,5.110986543108197e-06,9.325824584836125e-15,5.2700237764200046e-15,1.1309300510556557e+53,53.053435744288855,6.785580306333934e+60,liquid,0.6329059249653166,0.2734681800624507,0.4095568167187089,0.35999999999999527,warm_rain,0.9166666666666666,"[""Gibbs-Thomson coefficient follows GT = r_C * dT/2."", ""Heterogeneous geometry: f(theta)=2-3cos+cos^3; factor=f/4.""]",[],"[""in_valid_range"", ""above_triple_point_liquid_stable""]",5,2.842170943040401e-14,0.0,ferreira_eq17
ok,ice,homogeneous,90.02592832670172,280.75,280.7495957864553,90000.0,1203.693294275581,115.29059249653214,107.14681800624554,1.1529059249653215,1.0714681800624555,160.83145926619693,0.0004042135447174483,1123.4055445355532,1123.3701679720793,0.035376563473846545,0.10437375745526839,6225.074997332112,0.1049962649550016,-9240270.949220963,-3735.042674534266,-1.5645310169548296e-17,1.3115993185961361e-14,-6.54572766714434e-15,6.5546202086474735e-15,-1.6943268603464786e-08,2.021067723587241e-11,-8.383325509444964e-05,4.195931031998699e-06,1.3100347875791813e-14,7.41988279792617e-15,1.2713369206652432e+49,49.10426065944097,7.62802152399146e+56,liquid,0.6329059249652552,0.27346818006238927,0.4095568167186577,0.3599999999999338,warm_rain,0.9166666666666666,"[""Result reported though outside the constitutive validity range."", ""Gibbs-Thomson coefficient follows GT = r_C * dT/2."", ""Heterogeneous geometry: f(theta)=2-3cos+cos^3; factor=f/4.""]",[],"[""out_of_range""]",4,0.0,0.0,ferreira_eq17
