z_m,phase,status,T_ambient_K,S_water,S_ice,gradT_K_m,r_critical_2nd_m,log10_nucleation_rate,diagnostic_class,rain_fav,snow_fav,graupel_fav,hail_fav,confidence
500.0,liquid,ok,281.75,0.817857142857143,0.7528291669877964,78.92502510233308,5.110986538056236e-06,53.05882305190726,subsaturated,0.2749999999999941,0.24999999999999406,0.18333333333332938,0.19999999999999524,0.8166666666666667
500.0,ice,ok,281.75,0.817857142857143,0.7528291669877964,161.45071962617408,4.1959310297210535e-06,49.105418778673155,subsaturated,0.2749999999999173,0.2499999999999173,0.1833333333332782,0.19999999999993384,0.8166666666666667
842.1052631578948,liquid,ok,279.5263157894737,0.8300751879699249,0.7805658285527923,78.44893962969378,5.110986549404026e-06,53.07094828135333,subsaturated,0.27499999999999414,0.24999999999999412,0.18333333333332943,0.1999999999999953,0.8166666666666667
842.1052631578948,ice,ok,279.5263157894737,0.8300751879699249,0.7805658285527923,160.074680399885,4.195931034765617e-06,49.10283786182669,subsaturated,0.27499999999991714,0.24999999999991712,0.1833333333332781,0.1999999999999337,0.8166666666666667
1184.2105263157896,liquid,ok,277.30263157894734,0.8422932330827068,0.8092041826725206,77.97315614301506,5.1109865611984375e-06,53.083138034946884,subsaturated,0.2749999999999942,0.24999999999999417,0.18333333333332946,0.19999999999999535,0.8166666666666667
1184.2105263157896,ice,ok,277.30263157894734,0.8422932330827068,0.8092041826725206,158.70224924736223,4.1959310397369834e-06,49.100236331060344,subsaturated,0.27499999999991703,0.249999999999917,0.18333333333327803,0.19999999999993362,0.8166666666666667
1526.3157894736842,liquid,ok,275.07894736842104,0.8545112781954888,0.8387715258540368,77.49805144837414,5.110986573510902e-06,53.09539161106652,subsaturated,0.39999999999999425,0.24999999999999423,0.26666666666666283,0.19999999999999538,0.8166666666666667
1526.3157894736842,ice,ok,275.07894736842104,0.8545112781954888,0.8387715258540368,157.33337358254042,4.195931044635569e-06,49.0976138544331,subsaturated,0.39999999999991687,0.24999999999991684,0.26666666666661126,0.19999999999993348,0.8166666666666667
1868.421052631579,liquid,ok,272.85526315789474,0.8667293233082707,0.8692957463246506,77.02404847834163,5.1109865864269555e-06,53.10770802256975,subsaturated,0.39999999999999425,0.25184210526315204,0.26789473684210136,0.20147368421052164,0.8166666666666667
1868.421052631579,ice,ok,272.85526315789474,0.8667293233082707,0.8692957463246506,155.96800111610236,4.1959310494617806e-06,49.09497009192107,subsaturated,0.39999999999991664,0.25184210526307443,0.2678947368420496,0.20147368421045955,0.8166666666666667
