grid_dx_m,radius_m,initial_m2_s,final_m2_s,change_m2_s
600,1200,14100.87935790754,10380.268684152483,-3720.610673755058
600,2400,25330.107863737765,15901.072965235713,-9429.034898502052
600,4200,34436.65590338813,15159.615530355664,-19277.04037303246
600,6000,28628.781454399872,5140.873377367985,-23487.908077031887
300,1200,18687.4338776267,17534.096241438947,-1153.3376361877527
300,2400,37011.31728334993,20279.499747511258,-16731.81753583867
300,4200,45831.9856221002,16974.56514335996,-28857.420478740238
300,6000,52745.821159356354,6087.854044736176,-46657.96711462018
